participant,omega,tau,nll_by_condition
801,0.07373977452516556,0.12471577525138855,{'regret_early': 49.54327392578125}
832,0.08985883742570877,0.0748162567615509,{'regret_early': 19.38277244567871}
859,0.2731340825557709,0.04921635240316391,{'regret_early': 32.69064712524414}
845,0.07168714702129364,0.1236652135848999,{'regret_early': 19.350467681884766}
769,0.07723875343799591,0.14448249340057373,{'regret_early': 47.804473876953125}
814,0.15010830760002136,0.26525935530662537,{'regret_early': 54.75509262084961}
864,1.5406607389450073,0.03406379744410515,{'regret_early': 43.12964630126953}
759,0.30441218614578247,0.1208299994468689,{'regret_early': 51.3525276184082}
836,2.303758382797241,0.11846305429935455,{'regret_early': 58.25815200805664}
779,0.03031300939619541,0.19746051728725433,{'regret_early': 57.73991775512695}
773,0.030711475759744644,0.14575017988681793,{'regret_early': 53.20465087890625}
870,3.829747438430786,0.11964992433786392,{'regret_early': 62.58965301513672}
868,0.05293450877070427,0.11514923721551895,{'regret_early': 44.6412239074707}
767,4.630425930023193,0.028931399807333946,{'regret_early': 44.68987274169922}
830,0.2695271670818329,0.3101283311843872,{'regret_early': 56.142578125}
771,0.4201361835002899,0.11470231413841248,{'regret_early': 41.57538604736328}
777,0.035844314843416214,0.08244416117668152,{'regret_early': 26.975893020629883}
872,0.030874282121658325,0.17183944582939148,{'regret_early': 51.1668701171875}
803,0.9677408933639526,1.135757327079773,{'regret_early': 65.14691925048828}
783,0.036305200308561325,0.10546613484621048,{'regret_early': 45.400108337402344}
866,0.025318019092082977,0.1728605479001999,{'regret_early': 54.47054672241211}
855,1.802198052406311,0.19062958657741547,{'regret_early': 62.544410705566406}
876,2.38628888130188,0.07335248589515686,{'regret_early': 51.49067687988281}
754,0.0750790536403656,0.10333976149559021,{'regret_early': 21.68961524963379}
755,0.009857838973402977,0.052625905722379684,{'regret_early': 27.810802459716797}
850,0.027339765802025795,0.1101067066192627,{'regret_early': 50.94697952270508}
828,3.0000109672546387,1.474194884300232,{'regret_early': 65.92955780029297}
820,0.033868271857500076,0.12638640403747559,{'regret_early': 41.485965728759766}
818,0.057331282645463943,0.08068789541721344,{'regret_early': 52.136993408203125}
787,0.017977703362703323,0.023816756904125214,{'regret_early': 1.305565595626831}
843,3.284723997116089,0.1319112479686737,{'regret_early': 61.402069091796875}
848,0.04184190556406975,0.11601630598306656,{'regret_early': 47.992610931396484}
805,1.3595936298370361,0.1391611248254776,{'regret_early': 59.61334991455078}
874,0.07092121988534927,0.1594221591949463,{'regret_early': 59.85850524902344}
765,0.039917461574077606,0.08057563006877899,{'regret_early': 47.386104583740234}
789,0.028918571770191193,0.3218182325363159,{'regret_early': 63.620887756347656}
826,0.5461058020591736,0.1237771064043045,{'regret_early': 58.66064453125}
757,0.3142329454421997,0.14791239798069,{'regret_early': 51.695884704589844}
701,0.8978563547134399,0.1444091796875,{'regret_early': 59.95830154418945}
737,0.274668425321579,0.11483030021190643,{'regret_early': 51.43693542480469}
719,0.5170644521713257,0.0726550817489624,{'regret_early': 39.20294189453125}
728,0.11646181344985962,0.21440105140209198,{'regret_early': 44.609413146972656}
713,2.583284378051758,0.03128962218761444,{'regret_early': 49.53142166137695}
710,0.015696736052632332,0.031147779896855354,{'regret_early': 5.351353168487549}
716,1.2873964309692383,0.21339789032936096,{'regret_early': 61.469295501708984}
738,0.7787024974822998,0.3127833604812622,{'regret_late': 56.403541564941406}
711,0.043769702315330505,0.15010689198970795,{'regret_late': 53.97564697265625}
717,0.07963934540748596,0.06849676370620728,{'regret_late': 13.86506462097168}
744,0.057462118566036224,0.06964555382728577,{'regret_late': 21.77164649963379}
714,0.03921843692660332,0.21898531913757324,{'regret_late': 50.55574035644531}
